,en,ru,,,,,,,,,,
ml_a,a,,,,,,,,,,,,
ml_an,an,,,,,,,,,,,,
ml_experience,Experience,Опыт,,,,,,,,,,
ml_level,Level,Уровень,,,,,,,,,,
ml_level_up,Level up,Новый уровень,,,,,,,,,,
ml_level_up_tp,New level available,Доступен новый уровень,,,,,,,,,,
ml_close,Close,Закрыть,,,,,,,,,,
ml_close_tp,Close this window,Закрыть это окно,,,,,,,,,,
ml_current_rewards,Current rewards,Текущие бонусы,,,,,,,,,,
ml_exp_bar_tooltip,click to open UI,нажмите для открытия меню,,,,,,,,,,
ml_skip,Skip,Пропустить,,,,,,,,,,
ml_skip_tp,Spend level on nothing,Потратить уровень ни на что,,,,,,,,,,
ml_killed,Killed,Убит,,,,,,,,,,
ml_died,Died,Умер,,,,,,,,,,
ml_cause,cause,причина,,,,,,,,,,
ml_gained_xp,exp gained,получено опыта,,,,,,,,,,
ml_simple_extra_health,Health,Здоровье,,,,,,,,,,
ml_simple_extra_health_tp,Add $0 health,Добавляет $0 к здоровью,,,,,,,,,,
ml_extra_reward_choice,More options,Больше вариантов,,,,,,,,,,
ml_extra_reward_choice_tp,"Add $0 more option to reward choice, but you will skip next levels","Добавляет $0 к списку наград, но вы пропускаете следующие уровни",,,,,,,,,,
ml_add_gold,Gold,Золото,,,,,,,,,,
ml_add_gold_tp,Add $0 gold,Добавляет $0 золота,,,,,,,,,,
ml_bloody_money,Bloody money,Кровавые деньги,,,,,,,,,,
ml_bloody_money_tp,Chance to spawn blood money on kills,Шанс спавна кровавых денег при убийствах,,,,,,,,,,
ml_spawn_chest,Chest,Сундук,,,,,,,,,,
ml_spawn_chest_tp,Spawn chest $0,Получить сундук $0,,,,,,,,,,
ml_spell_low,low,низкого,,,,,,,,,,
ml_spell_mid,mid,среднего,,,,,,,,,,
ml_spell_high,high,высокого,,,,,,,,,,
ml_random_spell,Random spell,Случайное заклинание,,,,,,,,,,
ml_random_spell_tp,Spawn a random spell of $0 level,Создаёт случайное заклинание $0 уровня,,,,,,,,,,
ml_random_projectile,Random projectile,Случайный снаряд,,,,,,,,,,
ml_random_projectile_tp,Spawn a random projectile of $0 level,Создаёт случайный снаряд $0 уровня,,,,,,,,,,
ml_random_static_projectile,Random static projectile,Случайный статичный снаряд,,,,,,,,,,
ml_random_static_projectile_tp,Spawn a random static projectile of $0 level,Создаёт случайный статичный снаряд $0 уровня,,,,,,,,,,
ml_random_modifier,Random modifier,Случайный модификатор,,,,,,,,,,
ml_random_modifier_tp,Spawn a random modifier of $0 level,Создаёт случайный модификатор $0 уровня,,,,,,,,,,
ml_random_draw_many,Random multicast,Случайное множественное заклинание,,,,,,,,,,
ml_random_draw_many_tp,Spawn a random multicast of $0 level,Создаёт случайное множественное заклинание $0 уровня,,,,,,,,,,
ml_passive_spell,Random passive spell,Случайное пассивное заклинание,,,,,,,,,,
ml_passive_spell_tp,Spawn a random passive spell,Создаёт случайное пассивное заклинание,,,,,,,,,,
ml_material_spell,Random material spell,Случайное заклинание материала,,,,,,,,,,
ml_material_spell_tp,Spawn a random material spell,Создаёт случайное заклинание материала,,,,,,,,,,
ml_random_utility,Random utility card,Случайное заклинание "полезное",,,,,,,,,,
ml_random_utility_tp,Spawn a random utility card of $0 level,Создаёт случайное полезное $0 уровня,,,,,,,,,,
ml_random_other,Random other card,Случайное заклинание "другое",,,,,,,,,,
ml_random_other_tp,Spawn a random other card of $0 level,Создаёт случайное другое $0 уровня,,,,,,,,,,
ml_permanent_light,Permanent light,Постоянный свет,,,,,,,,,,
ml_permanent_light_tp,Adds permanent light,Добавляет постоянный свет,,,,,,,,,,
ml_permanent_light_increase_tp,Increase $0 of permanent light,Увеличивает $0 постоянного света,,,,,,,,,,
ml_radius,radius,радиус,,,,,,,,,,
ml_brightness,brightness,яркость,,,,,,,,,,
ml_peace_with_gods,Peace with Gods,Перемирие с Богами,,,,,,,,,,
ml_peace_with_gods_tp,Gods forgive you,Боги вас прощают,,,,,,,,,,
ml_piece_with_gods_message1,THE GODS HAVE FORGIVEN YOU..,БОГИ ВАС ПРОСТИЛИ..,,,,,,,,,,
ml_piece_with_gods_message2,..for now,..пока что,,,,,,,,,,
ml_forgetful_gods,Forgetful Gods,Забывчивые Боги,,,,,,,,,,
ml_forgetful_gods_tp,The gods will forget your sins,Боги забудут ваши грехи,,,,,,,,,,
ml_heal_spells,Random healing spell,Случайное заклинание лечения,,,,,,,,,,
ml_heal_spells_tp,Spawn a random healing spell,Создаёт случайное заклинание лечения,,,,,,,,,,
ml_faster_wand,Faster wand,Ускорение жезла,,,,,,,,,,
ml_faster_wand_tp,The wand you are holding become faster,Жезл у вас в руке становится быстрее,,,,,,,,,,
ml_faster_wand_delay,The wand you are holding will have less cast delay,У жезла у вашей руки уменьшается задержка заклинаний,,,,,,,,,,
ml_faster_wand_recharge,The wand you are holding will have less cooldown,У жезла у вашей руки уменьшается перезарядка,,,,,,,,,,
ml_wand_more_mana,More mana,Больше маны,,,,,,,,,,
ml_wand_more_mana_tp,The wand you are holding gains max mana,Жезл у вас в руке получает больше маны,,,,,,,,,,
ml_wand_more_recharge,More mana charge,Больше регенерации маны,,,,,,,,,,
ml_wand_more_recharge_tp,The wand you are holding gains more mana recharge,Жезл у вас в руке получает больше регенерации маны,,,,,,,,,,
ml_wand_more_capacity,More capacity,Больше объема,,,,,,,,,,
ml_wand_more_capacity_tp,The wand you are holding gains more capacity,Жезл у вас в руке вмещает больше заклинаний,,,,,,,,,,
ml_wand_more_capacity_tp_no_limit,The wand you are holding gains more capacity (no limit!),Жезл у вас в руке вмещает больше заклинаний (без лимита!),,,,,,,,,,
ml_wand_no_shuffle,No shuffle,Без случайностей,,,,,,,,,,
ml_wand_no_shuffle_tp,The wand you are holding will become non-shuffle,Жезл у вас в руке теряет случайный порядок,,,,,,,,,,
ml_wand_more_recharge_and_mana,Capable wand,Способный жезл,,,,,,,,,,
ml_wand_more_recharge_and_mana_tp,The wand you are holding gains more mana and mana charge,Жезл у вас в руке получает больше маны и регенерацию маны,,,,,,,,,,
ml_wand_lower_spread,Lower spread,Меньший разброс,,,,,,,,,,
ml_wand_lower_spread_tp,The wand you are holding will have less spread,Жезл у вас в руке будет иметь меньше разброса,,,,,,,,,,
ml_more_experience,More experiece,Больше опыта,,,,,,,,,,
ml_more_experience_tp,Kills grant $0 more experience,Убийство приносит на $0 больше опыта,,,,,,,,,,
ml_more_experience_trick_tp,Trick kills grant $0 more experience,Случайные убийства приносит на $0 больше опыта,,,,,,,,,,
ml_more_experience_betray,Stray experience,Шальной опыт,,,,,,,,,,
ml_more_experience_betray_tp,You will gain experience when you observe friendly fire,Вы будете получать опыт когда наблюдаете за дружественным огнём,,,,,,,,,,
ml_more_more_experience_betray,More stray experience,Больше шального опыта,,,,,,,,,,
ml_more_more_experience_betray_tp,You will gain 25% more stray experience,Вы будете получать на 25% больше шального опыта,,,,,,,,,,
ml_heal_con,Heal,Лечение,,,,,,,,,,
ml_heal_con_tp,Heal your for $0 hp,Лечит вас на $0 здоровья,,,,,,,,,,
ml_permanent_concentrated_mana,Permanent concentrated mana,Вечная концентрированная мана,,,,,,,,,,
ml_permanent_concentrated_mana_tp,"Gives you reduced, but permanent concentrated mana","Даёт вам ослабленную, но вечную концентрированную ману",,,,,,,,,,
ml_projectile_damage_increase,More projectile damage,Больше урона снарядами,,,,,,,,,,
ml_projectile_damage_increase_tp,Your projectiles deals more damage,Ваши снаряды наносят больше урона,,,,,,,,,,
ml_elemental_damage_increase,More elemental damage,Больше элементального урона,,,,,,,,,,
ml_elemental_damage_increase_tp,You deal more elemental damage,Вы наносите больше элементального урона,,,,,,,,,,
ml_drill_damage_increase,Deadly drills,Смертельные дрелли,,,,,,,,,,
ml_drill_damage_increase_tp,Your drills are dealing more damage,Ваши дрелли наносят больше урона,,,,,,,,,,
ml_drill_destructibility_increase,Harder drill,Крепкий дрелль,,,,,,,,,,
ml_drill_destructibility_increase_tp,Your drills are capable of digging through harder materials,Ваши дрелли способны копать более твёрдые материалы,,,,,,,,,,
ml_force_fungal_shift,Fungal shift,Грибной сдвиг,,,,,,,,,,
ml_force_fungal_shift_tp,Force fungal shift beyond limits,Сделать грибной сдвиг не взирая на лимит,,,,,,,,,,
ml_transformation_rat,Ratty transformation,Крысиная трансформация,,,,,,,,,,
ml_transformation_rat_tp,Cause you to grow a rat tail and increase movement speed by 15%,У вас вырастает крысиный хвост и ваша скорость передвижения увеличивается на 15%,,,,,,,,,,
ml_transformation_fungi,Funky transformation,Грибная трансформация,,,,,,,,,,
ml_transformation_fungi_tp,Cause your head to turn into a mushroom and give 10% resistance to explosion damage,Ваша голова превращается в гриб и вы получаете 15% сопротивления к урону от взрывов,,,,,,,,,,
ml_transformation_ghost,Ghostly transformation,Паранормальная трансформация,,,,,,,,,,
ml_transformation_ghost_tp,Give you a ghost companion and increase your levitation time by 15%,Даёт вам призрачных компаньонов и вы можете левитировать на 15% дольше,,,,,,,,,,
